name;price;percentage;benefits
Share-DUPH;10.01;12.25;1.226225
Share-GTAN;26.04;38.06;9.910824
Share-USUF;9.25;27.69;2.561325
Share-CFOZ;10.64;38.21;4.065544
Share-QLRX;15.72;27.47;4.318284
Share-XJDT;0;37.11;0
Share-HKFP;23.97;19.66;4.712502
Share-PPPH;24.06;38.2;9.19092
Share-HLJY;26.98;5.54;1.494692
Share-YKBD;0;22.75;0
Share-CTCR;16.6;12.4;2.0584
Share-LMJG;16.54;29.82;4.932228
Share-IGUH;19.13;14.3;2.73559
Share-VIRY;31.94;1.84;0.587696
Share-PYDS;34.9;30.69;10.71081
Share-SOOE;23.09;38.04;8.783436
Share-NOIQ;24.08;36.81;8.863848
Share-QUXB;36.97;36.08;13.338776
Share-SJNY;24.61;17.43;4.289523
Share-CQYF;26.26;0.65;0.17069
Share-XJSP;42.08;3.03;1.275024
Share-YNWM;9.94;28.25;2.80805
Share-KTGN;6.41;25.37;1.626217
Share-KWZO;41.42;1.19;0.492898
Share-BVMS;27.84;4.51;1.255584
Share-DAPD;8.47;6.66;0.564102
Share-TVRM;31.06;6.63;2.059278
Share-EIYB;11.49;37.74;4.336326
Share-NNGR;43.15;15.09;6.511335
Share-XWRU;28.6;23.37;6.68382
Share-YEZB;17.15;30.28;5.19302
Share-AQHE;7.8;5.36;0.41808
Share-IJAW;0;30.69;0
Share-SEBO;35.85;14.79;5.302215
Share-MWTE;0;18.37;0
Share-ZWIY;18.36;11.91;2.186676
Share-BAOJ;38.2;28.36;10.83352
Share-GKWN;16.01;33.52;5.366552
Share-UZPA;27.49;4.4;1.20956
Share-HODN;34.8;7.29;2.53692
Share-HRDA;27.45;33.65;9.236925
Share-ZRWP;25.99;6.72;1.746528
Share-JWSN;23.24;7.28;1.691872
Share-RLHB;38.23;4.46;1.705058
Share-FFBY;22.05;11.41;2.515905
Share-FTYF;9.56;31.54;3.015224
Share-KNZG;14.86;13.8;2.05068
Share-QPSA;28.95;29.9;8.65605
Share-JMGY;28.8;3.11;0.89568
Share-KWDY;26.04;37.89;9.866556
Share-OWCV;30.21;0.74;0.223554
Share-HUIT;36.37;17.87;6.499319
Share-MSKF;19.76;3.64;0.719264
Share-GFJZ;34.57;26.08;9.015856
Share-IKZL;41.63;18.98;7.901374
Share-BLKR;45.91;15.19;6.973729
Share-INSV;32.9;34.47;11.34063
Share-VBXG;30.23;35.48;10.725604
Share-LTLT;28.67;16.65;4.773555
Share-JTQE;33.07;30.91;10.221937
Share-OHTK;7.76;15.36;1.191936
Share-XBOW;30.98;8.13;2.518674
Share-PKFS;19.16;25.16;4.820656
Share-BQZO;25.92;0.02;0.005184
Share-MCUJ;12.51;3.65;0.456615
Share-TTXF;20.12;37;7.4444
Share-CZZS;27.26;31.2;8.50512
Share-BGRQ;25.39;11.63;2.952857
Share-SVAM;18.37;18.91;3.473767
Share-IYAT;14.95;19.52;2.91824
Share-NNSM;12.03;32.13;3.865239
Share-VLWV;3.7;3.85;0.14245
Share-XSSB;22.12;38.25;8.4609
Share-CIIX;1.41;18.22;0.256902
Share-SJAK;33.2;12.93;4.29276
Share-CEBR;45.89;0.04;0.018356
Share-CLIJ;33.15;23.23;7.700745
Share-XRVK;47.49;2.85;1.353465
Share-OOUK;36.53;12.05;4.401865
Share-ZBMZ;31.3;34.14;10.68582
Share-KVDA;25.11;13.91;3.492801
Share-PARA;14.33;1.54;0.220682
Share-TNBA;23.58;35.62;8.399196
Share-CSQA;2.71;8.5;0.23035
Share-HKEJ;15.19;16.62;2.524578
Share-AOLT;48.53;36.44;17.684332
Share-YRVP;21.91;10.98;2.405718
Share-IPGW;17.24;15.29;2.635996
Share-IYEW;38.32;36.79;14.097928
Share-WZHT;36.02;24.81;8.936562
Share-FAHD;47.39;4.52;2.142028
Share-EFHD;25.31;19.81;5.013911
Share-IQHP;41;32.06;13.1446
Share-XOQL;18.72;15.03;2.813616
Share-CZAX;38.05;30.64;11.65852
Share-UVZJ;0;26.26;0
Share-RUFN;10.88;37.03;4.028864
Share-ZIGX;41.52;13.39;5.559528
Share-KMOP;25.25;33.24;8.3931
Share-VTYP;13.68;31.22;4.270896
Share-WENI;27.11;34.87;9.453257
Share-YEYF;49.1;24.88;12.21608
Share-EKHU;47.13;35.03;16.509639
Share-JPLU;10.72;29.16;3.125952
Share-CVKQ;27.89;6.06;1.690134
Share-TFNF;38.63;33.34;12.879242
Share-LRYZ;32.77;38.16;12.505032
Share-SUDI;38.72;25.01;9.683872
Share-GFBR;22.19;21.05;4.670995
Share-ELHS;36.47;1.05;0.382935
Share-BOET;0;37.01;0
Share-PFOA;8.54;19.08;1.629432
